--2020-07-24 04:00:02--  ftp://bks-speedtest-1.tele2.net/100MB.zip
           => ‘/dev/null’
Resolving bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)... 90.130.74.113, 2a00:800:1010:9::2
Connecting to bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)|90.130.74.113|:21... connected.
Logging in as anonymous ... Logged in!
==> SYST ... done.    ==> PWD ... done.
 71550K .......... .......... .......... .......... .......... 69% 70.6M 1s
 71600K .......... .......... .......... .......... .......... 69% 48.0M 1s
 71650K .......... .......... .......... .......... .......... 70% 38.0M 1s
 71700K .......... .......... .......... .......... .......... 70% 66.9M 1s
 71750K .......... .......... .......... .......... .......... 70%  111M 1s
 71800K .......... .......... .......... .......... .......... 70% 50.0M 1s
 71850K .......... .......... .......... .......... .......... 70% 50.1M 1s
 71900K .......... .......... .......... .......... .......... 70% 50.0M 1s
 71950K .......... .......... .......... .......... .......... 70% 36.3M 1s
 72000K .......... .......... .......... .......... .......... 70%  279M 1s
 72050K .......... .......... .......... .......... .......... 70% 54.5M 1s
 72100K .......... .......... .......... .......... .......... 70% 48.0M 1s
 72150K .......... .......... .......... .......... .......... 70% 52.2M 1s
 72200K .......... .......... .......... .......... .......... 70%  140M 1s
 72250K .......... .......... .......... .......... .......... 70% 44.4M 1s
 72300K .......... .......... .......... .......... .......... 70% 26.2M 1s
 72350K .......... .......... .......... .......... .......... 70%  183M 1s
 72400K .......... .......... .......... .......... .......... 70% 56.2M 1s
 72450K .......... .......... .......... .......... .......... 70%  112M 1s
 72500K .......... .......... .......... .......... .......... 70% 48.8M 1s
 72550K .......... .......... .......... .......... .......... 70% 46.5M 1s
 72600K .......... .......... .......... .......... .......... 70% 23.8M 1s
 72650K .......... .......... .......... .......... .......... 70% 46.3M 1s
 72700K .......... .......... .......... .......... .......... 71%  122M 1s
 72750K .......... .......... .......... .......... .......... 71% 48.8M 1s
 72800K .......... .......... .......... .......... .......... 71% 49.6M 1s
 72850K .......... .......... .......... .......... .......... 71% 48.3M 1s
 72900K .......... .......... .......... .......... .......... 71%  105M 1s
 72950K .......... .......... .......... .......... .......... 71% 47.8M 1s
 73000K .......... .......... .......... .......... .......... 71% 52.3M 1s
 73050K .......... .......... .......... .......... .......... 71% 96.5M 1s
 73100K .......... .......... .......... .......... .......... 71% 31.7M 1s
 73150K .......... .......... .......... .......... .......... 71% 60.5M 1s
 73200K .......... .......... .......... .......... .......... 71% 46.5M 1s
 73250K .......... .......... .......... .......... .......... 71% 65.6M 1s
 73300K .......... .......... .......... .......... .......... 71% 64.6M 1s
 73350K .......... .......... .......... .......... .......... 71% 50.2M 1s
 73400K .......... .......... .......... .......... .......... 71% 48.7M 1s
 73450K .......... .......... .......... .......... .......... 71% 49.9M 1s
 73500K .......... .......... .......... .......... .......... 71%  116M 1s
 73550K .......... .......... .......... .......... .......... 71% 47.8M 1s
 73600K .......... .......... .......... .......... .......... 71% 49.6M 1s
 73650K .......... .......... .......... .......... .......... 71% 49.6M 1s
 73700K .......... .......... .......... .......... .......... 72% 55.0M 1s
 73750K .......... .......... .......... .......... .......... 72%  112M 1s
 73800K .......... .......... .......... .......... .......... 72% 43.1M 1s
 73850K .......... .......... .......... .......... .......... 72% 50.8M 1s
 73900K .......... .......... .......... .......... .......... 72% 31.7M 1s
 73950K .......... .......... .......... .......... .......... 72%  100M 1s
 74000K .......... .......... .......... .......... .......... 72% 71.1M 1s
 74050K .......... .......... .......... .......... .......... 72% 83.1M 1s
 74100K .......... .......... .......... .......... .......... 72%  267M 1s
 74150K .......... .......... .......... .......... .......... 72% 79.1M 1s
 74200K .......... .......... .......... .......... .......... 72%  325M 1s
 74250K .......... .......... .......... .......... .......... 72%  134M 1s
 74300K .......... .......... .......... .......... .......... 72% 46.8M 1s
 74350K .......... .......... .......... .......... .......... 72% 48.5M 1s
 74400K .......... .......... .......... .......... .......... 72% 49.9M 1s
 74450K .......... .......... .......... .......... .......... 72% 48.8M 1s
 74500K .......... .......... .......... .......... .......... 72%  103M 1s
 74550K .......... .......... .......... .......... .......... 72% 49.9M 1s
 74600K .......... .......... .......... .......... .......... 72% 47.5M 1s
 74650K .......... .......... .......... .......... .......... 72% 48.8M 1s
 74700K .......... .......... .......... .......... .......... 72% 49.6M 1s
 74750K .......... .......... .......... .......... .......... 73%  123M 1s
 74800K .......... .......... .......... .......... .......... 73% 48.2M 1s
 74850K .......... .......... .......... .......... .......... 73% 45.6M 1s
 74900K .......... .......... .......... .......... .......... 73% 48.7M 1s
 74950K .......... .......... .......... .......... .......... 73%  113M 1s
 75000K .......... .......... .......... .......... .......... 73% 51.1M 1s
 75050K .......... .......... .......... .......... .......... 73% 47.1M 1s
 75100K .......... .......... .......... .......... .......... 73% 32.3M 1s
 75150K .......... .......... .......... .......... .......... 73% 50.7M 1s
 75200K .......... .......... .......... .......... .......... 73%  112M 1s
 75250K .......... .......... .......... .......... .......... 73% 48.6M 1s
 75300K .......... .......... .......... .......... .......... 73% 35.9M 1s
 75350K .......... .......... .......... .......... .......... 73%  107M 1s
 75400K .......... .......... .......... .......... .......... 73% 75.9M 1s
 75450K .......... .......... .......... .......... .......... 73%  122M 1s
 75500K .......... .......... .......... .......... .......... 73% 7.84M 1s
 75550K .......... .......... .......... .......... .......... 73%  739M 1s
 75600K .......... .......... .......... .......... .......... 73%  621M 1s
 75650K .......... .......... .......... .......... .......... 73%  611M 1s
 75700K .......... .......... .......... .......... .......... 73%  705M 1s
 75750K .......... .......... .......... .......... .......... 74% 76.7M 1s
 75800K .......... .......... .......... .......... .......... 74% 43.5M 1s
 75850K .......... .......... .......... .......... .......... 74% 57.3M 1s
 75900K .......... .......... .......... .......... .......... 74%  104M 1s
 75950K .......... .......... .......... .......... .......... 74% 52.2M 1s
 76000K .......... .......... .......... .......... .......... 74% 47.7M 1s
 76050K .......... .......... .......... .......... .......... 74% 48.5M 1s
 76100K .......... .......... .......... .......... .......... 74% 49.9M 1s
 76150K .......... .......... .......... .......... .......... 74%  108M 1s
 76200K .......... .......... .......... .......... .......... 74% 49.5M 1s
 76250K .......... .......... .......... .......... .......... 74% 47.7M 1s
 76300K .......... .......... .......... .......... .......... 74% 50.1M 1s
 76350K .......... .......... .......... .......... .......... 74%  125M 1s
 76400K .......... .......... .......... .......... .......... 74% 31.0M 1s
 76450K .......... .......... .......... .......... .......... 74%  103M 1s
 76500K .......... .......... .......... .......... .......... 74% 34.7M 1s
 76550K .......... .......... .......... .......... .......... 74% 44.1M 1s
 76600K .......... .......... .......... .......... .......... 74%  118M 1s
 76650K .......... .......... .......... .......... .......... 74% 47.4M 1s
 76700K .......... .......... .......... .......... .......... 74% 82.1M 1s
 76750K .......... .......... .......... .......... .......... 75% 35.7M 1s
 76800K .......... .......... .......... .......... .......... 75%  108M 1s
 76850K .......... .......... .......... .......... .......... 75%  120M 1s
 76900K .......... .......... .......... .......... .......... 75%  111M 1s
 76950K .......... .......... .......... .......... .......... 75%  118M 1s
 77000K .......... .......... .......... .......... .......... 75%  108M 1s
 77050K .......... .......... .......... .......... .......... 75%  115M 1s
 77100K .......... .......... .......... .......... .......... 75%  101M 1s
 77150K .......... .......... .......... .......... .......... 75% 46.6M 1s
 77200K .......... .......... .......... .......... .......... 75% 49.8M 1s
 77250K .......... .......... .......... .......... .......... 75%  107M 1s
 77300K .......... .......... .......... .......... .......... 75% 49.1M 1s
 77350K .......... .......... .......... .......... .......... 75% 51.6M 1s
 77400K .......... .......... .......... .......... .......... 75% 48.4M 1s
 77450K .......... .......... .......... .......... .......... 75%  119M 1s
 77500K .......... .......... .......... .......... .......... 75% 45.5M 1s
 77550K .......... .......... .......... .......... .......... 75% 52.1M 1s
 77600K .......... .......... .......... .......... .......... 75% 48.7M 1s
 77650K .......... .......... .......... .......... .......... 75% 49.7M 1s
 77700K .......... .......... .......... .......... .......... 75%  118M 1s
 77750K .......... .......... .......... .......... .......... 75% 33.3M 1s
 77800K .......... .......... .......... .......... .......... 76% 89.8M 1s
 77850K .......... .......... .......... .......... .......... 76% 36.9M 1s
 77900K .......... .......... .......... .......... .......... 76% 67.5M 1s
 77950K .......... .......... .......... .......... .......... 76% 79.2M 1s
 78000K .......... .......... .......... .......... .......... 76% 32.8M 1s
 78050K .......... .......... .......... .......... .......... 76% 62.9M 1s
 78100K .......... .......... .......... .......... .......... 76% 31.0M 1s
 78150K .......... .......... .......... .......... .......... 76%  106M 1s
 78200K .......... .......... .......... .......... .......... 76% 34.2M 1s
 78250K .......... .......... .......... .......... .......... 76% 85.5M 1s
 78300K .......... .......... .......... .......... .......... 76% 16.1M 1s
 78350K .......... .......... .......... .......... .......... 76% 42.9M 1s
 78400K .......... .......... .......... .......... .......... 76%  163M 1s
 78450K .......... .......... .......... .......... .......... 76% 45.9M 1s
